Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-12-08 07:45:32,false,"HMP","11.27","770","01:05:58","150","170","3.8","166","178","5:51","4:54","47","52","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:02.06","14","25.0","01:05:53","01:05:58","65","74"
Running,2022-12-05 22:00:16,false,"Running","8.01","603","00:50:49","148","158","3.6","152","157","6:21","5:07","47","50","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:02.28","9","27.0","00:50:46","00:50:49","37","65"
Running,2022-12-03 19:17:27,false,"Running","14.00","1,111","01:30:07","158","176","4.5","152","158","6:26","4:56","85","94","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:02.59","15","29.0","01:30:00","01:30:07","40","70"
Running,2022-12-01 21:35:51,false,"Tempo Run","9.66","662","00:58:17","147","163","3.5","162","174","6:02","4:32","53","61","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:02.61","12","28.0","00:58:13","00:58:17","46","72"
Running,2022-11-28 21:01:47,false,"Running","7.01","395","00:42:51","124","143","2.2","155","160","6:07","5:19","41","46","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:02.44","8","27.0","00:42:48","00:42:51","41","70"
Running,2022-11-26 20:12:31,false,"Running","12.51","946","01:20:08","150","165","3.8","153","160","6:24","4:55","79","88","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","03:05.68","13","30.0","01:20:06","01:20:08","34","70"
Running,2022-11-25 14:47:23,false,"HMP","8.05","561","00:46:26","150","169","3.8","164","174","5:46","4:54","37","41","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","No","00:01.65","10","28.0","00:46:23","00:46:26","68","81"
Running,2022-11-23 21:23:30,false,"Running","8.01","631","00:50:03","156","191","4.1","152","157","6:15","5:07","48","55","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:02.79","9","28.0","00:50:00","00:50:03","40","70"
Running,2022-11-18 14:35:13,false,"Running","10.01","757","00:59:47","156","176","4.4","159","175","5:58","4:18","62","74","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:01.94","11","29.0","00:59:43","00:59:47","27","70"
Running,2022-11-17 21:22:29,false,"Running","10.01","753","01:02:58","149","170","4.0","153","160","6:18","5:12","61","69","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:02.81","11","29.0","01:02:57","01:02:58","39","70"
